City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Quelimane,MZ,74.91,overcast clouds,-17.8786,36.8883,Mabassa
307,Charlestown,AU,80.42,broken clouds,-32.95,151.6667,Warners Bay Hotel
310,Caravelas,BR,74.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
320,Phan Thiet,VN,81.73,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
334,Kralendijk,BQ,78.78,few clouds,12.15,-68.2667,Hotel Bonaire Inn
336,Timbiqui,CO,74.03,overcast clouds,2.7717,-77.6654,Hotel de Río Timbiqui
340,Salazie,RE,74.5,few clouds,-21.0273,55.539,L'Arrangé
341,Gunjur,GM,74.64,overcast clouds,13.2019,-16.7339,Footsteps Eco Lodge
347,Padang,ID,82.83,overcast clouds,-0.9492,100.3543,losmen Surya
348,Burnie,AU,72.95,overcast clouds,-41.0667,145.9167,Burnie Central TownHouse Hotel
350,Mamonit,PH,83.1,overcast clouds,15.5859,120.3972,Mayantoc Hotel
353,Bayeux,BR,77.63,few clouds,-7.125,-34.9322,Hotel Globo
355,Sao Raimundo Nonato,BR,75.69,overcast clouds,-9.0153,-42.6994,Pousada Zabelê
358,Christchurch,NZ,70.92,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
361,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Nataiwatch
371,Kuala Lipis,MY,78.87,overcast clouds,4.1842,102.0468,Lipis Plaza Hotel
375,General Pico,AR,77.52,clear sky,-35.6566,-63.7568,Euskadi Hotel
381,San Juan,AR,84.09,overcast clouds,-31.5375,-68.5364,Hotel San Francisco
389,Punta Alta,AR,73.54,scattered clouds,-38.8759,-62.0736,Gran Hotel
390,Makakilo City,US,80.62,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
399,Sao Felix Do Xingu,BR,70.39,overcast clouds,-6.6447,-51.995,Hotel Terraço
409,Sokoni,TZ,80.76,scattered clouds,-6.4333,39.55,La Madrugada Beach Hotel
411,Libertador General San Martin,AR,81.97,overcast clouds,-23.8064,-64.7876,Hosteria Real Victoria
415,Eyl,SO,73.09,few clouds,7.9803,49.8164,فندق ايل دابي
419,Chau Doc,VN,81.0,scattered clouds,10.7,105.1167,KS Hoàng Tuyên
421,Monrovia,LR,77.63,light rain,6.3005,-10.7969,Bella Casa Hotel
422,Hambantota,LK,77.81,moderate rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
427,Takoradi,GH,79.05,few clouds,4.8845,-1.7554,Hillcrest
433,Cidreira,BR,74.01,broken clouds,-30.1811,-50.2056,Hotel Castelo
435,Uaua,BR,71.76,overcast clouds,-9.8414,-39.4817,Hotel Uauá
436,Villa Carlos Paz,AR,74.89,clear sky,-31.4241,-64.4978,Hoterl Victor
440,Camacari,BR,78.57,overcast clouds,-12.6975,-38.3242,Hotel Uberlândia
444,Piacabucu,BR,76.68,overcast clouds,-10.4056,-36.4344,O Leão
449,Vila Velha,BR,76.95,mist,-20.3297,-40.2925,Hotel Prainha
451,Chake Chake,TZ,76.89,light rain,-5.2459,39.7666,Annex Pemba Hotel
453,Luquillo,PR,77.02,broken clouds,18.3725,-65.7166,Luquillo Sunrise Beach Inn
458,Grajau,BR,70.36,overcast clouds,-5.8194,-46.1386,Torre Palace Hotel
468,Saint-Pierre,RE,79.92,clear sky,-21.3393,55.4781,Tropic Hotel
