City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Port-Gentil,GA,2023-01-10 13:55:27,-0.7193,8.7815,85.96,70,40,10.36
90,Ayan,RU,2023-01-10 13:56:27,56.45,138.1667,-5.93,95,100,6.08
91,Baoding,CN,2023-01-10 13:56:28,38.8511,115.4903,33.71,37,30,3.06
92,Vila Velha,BR,2023-01-10 13:52:49,-20.3297,-40.2925,84.94,73,40,10.36
93,Kudahuvadhoo,MV,2023-01-10 13:56:28,2.6708,72.8944,81.05,76,78,11.72
94,Yulara,AU,2023-01-10 13:56:29,-25.2406,130.9889,80.92,55,100,9.6
95,Diveyevo,RU,2023-01-10 13:56:29,55.0433,43.2418,-8.72,89,6,8.03
96,Narsaq,GL,2023-01-10 13:56:29,60.9167,-46.05,19.24,69,100,7.56
97,Bredasdorp,ZA,2023-01-10 13:54:15,-34.5322,20.0403,77.9,49,25,16.37
98,Barrow,US,2023-01-10 13:56:30,71.2906,-156.7887,-9.38,77,100,13.8
99,Radomsko,PL,2023-01-10 13:56:31,51.0671,19.4448,38.52,90,100,7.85
100,Sinnamary,GF,2023-01-10 13:56:31,5.3833,-52.95,78.22,87,89,10.83
101,Salalah,OM,2023-01-10 13:56:32,17.0151,54.0924,74.97,66,0,4.68
102,Shaoxing,CN,2023-01-10 13:56:32,30.011,120.5715,46.35,78,5,3.67
103,Deniliquin,AU,2023-01-10 13:56:32,-35.5333,144.9667,69.21,51,0,6.58
104,Namanga,KE,2023-01-10 13:56:33,-2.5433,36.7905,81.34,35,39,16.6
105,Talcahuano,CL,2023-01-10 13:56:33,-36.7167,-73.1167,62.28,63,20,13.8
106,Savannah Bight,HN,2023-01-10 13:56:34,16.45,-85.85,77.45,74,4,2.89
107,Komsomolskiy,UZ,2023-01-10 13:56:34,40.4272,71.7189,32.72,69,75,6.91
108,Bambous Virieux,MU,2023-01-10 13:56:34,-20.3428,57.7575,81.21,88,75,11.5
109,Atlantic City,US,2023-01-10 13:55:24,39.3643,-74.4229,37.04,72,59,7.0
110,Merida,MX,2023-01-10 13:52:47,20.9667,-89.6167,70.02,92,2,1.99
111,Castro,BR,2023-01-10 13:56:35,-24.7911,-50.0119,72.81,73,66,7.23
112,Nanortalik,GL,2023-01-10 13:56:36,60.1432,-45.2371,27.07,62,100,3.98
113,Saskylakh,RU,2023-01-10 13:56:36,71.9167,114.0833,-38.42,99,92,4.92
114,Keti Bandar,PK,2023-01-10 13:56:37,24.1447,67.4497,72.32,53,0,6.82
115,Batsfjord,NO,2023-01-10 13:56:37,70.6345,29.7185,20.97,89,97,18.97
116,Afua,BR,2023-01-10 13:56:37,-0.1567,-50.3867,82.9,72,100,6.49
117,Victoria,HK,2023-01-10 13:56:05,22.2855,114.1577,65.25,91,100,1.99
118,Kapaa,US,2023-01-10 13:56:38,22.0752,-159.319,69.78,76,57,2.91
119,New Norfolk,AU,2023-01-10 13:56:38,-42.7826,147.0587,56.7,71,11,0.69
120,Amga,RU,2023-01-10 13:56:39,60.8953,131.9608,-10.8,99,100,2.53
121,Chongqing,CN,2023-01-10 13:56:39,29.5628,106.5528,54.23,79,20,1.99
122,High Level,CA,2023-01-10 13:56:40,58.5169,-117.136,14.11,100,100,3.44
123,Lingao,CN,2023-01-10 13:56:40,19.9103,109.6859,65.95,94,100,15.32
124,Muisne,EC,2023-01-10 13:56:40,0.6,-80.0333,73.26,95,100,5.14
125,Naantali,FI,2023-01-10 13:56:41,60.4674,22.0243,33.12,93,100,8.05
126,Plettenberg Bay,ZA,2023-01-10 13:56:41,-34.0527,23.3716,74.84,76,28,7.4
127,Dharchula,IN,2023-01-10 13:56:42,29.85,80.5333,53.82,39,0,6.53
128,Asfi,MA,2023-01-10 13:56:42,32.2994,-9.2372,68.36,60,0,9.26
129,Hofn,IS,2023-01-10 13:56:43,64.2539,-15.2082,36.97,68,100,7.58
130,Sioux Lookout,CA,2023-01-10 13:56:43,50.1001,-91.917,19.47,93,100,3.44
131,Port Lincoln,AU,2023-01-10 13:52:39,-34.7333,135.8667,63.81,77,1,11.65
132,Hasaki,JP,2023-01-10 13:56:44,35.7333,140.8333,27.0,45,0,12.75
133,Ribeira Grande,PT,2023-01-10 13:56:44,38.5167,-28.7,61.77,55,20,10.36
134,Denpasar,ID,2023-01-10 13:56:42,-8.65,115.2167,80.26,83,20,3.44
135,Pokhara,NP,2023-01-10 13:56:45,28.2333,83.9833,54.54,32,0,4.92
136,Sterling,US,2023-01-10 13:54:00,39.0062,-77.4286,39.52,73,0,1.01
137,Ola,RU,2023-01-10 13:56:45,59.5833,151.2833,-18.99,90,19,6.17
138,Cayenne,GF,2023-01-10 13:54:07,4.9333,-52.3333,75.24,94,75,13.8
139,Talnakh,RU,2023-01-10 13:57:46,69.4865,88.3972,-43.8,84,39,1.03
140,Grunwald,DE,2023-01-10 13:57:46,48.0395,11.5232,40.96,73,75,9.22
141,Lompoc,US,2023-01-10 13:57:47,34.6391,-120.4579,60.78,91,100,11.5
142,Carutapera,BR,2023-01-10 13:57:48,-1.195,-46.02,85.5,63,61,10.47
143,Iwaki,JP,2023-01-10 13:57:48,37.05,140.8833,35.76,61,7,15.03
144,Cayambe,EC,2023-01-10 13:57:48,0.05,-78.1333,49.26,83,93,0.31
145,Markova,UA,2023-01-10 13:57:49,48.6758,24.4138,40.21,88,100,2.82
146,Port Blair,IN,2023-01-10 13:57:49,11.6667,92.75,79.43,74,80,9.69
147,Rey Bouba,CM,2023-01-10 13:57:50,8.6724,14.1786,94.17,9,100,4.07
148,Moron,AR,2023-01-10 13:57:50,-34.6534,-58.6198,85.93,64,11,5.55
149,Seddon,AU,2023-01-10 13:57:50,-37.8068,144.8916,66.97,79,0,10.36
150,Wainwright,CA,2023-01-10 13:57:51,52.839,-110.8572,5.63,97,100,1.23
151,Saryg-Sep,RU,2023-01-10 13:57:51,51.5,95.6,2.64,99,100,0.38
152,Mago,RU,2023-01-10 13:57:52,53.2514,140.1822,-10.16,97,99,0.29
153,Batagay-Alyta,RU,2023-01-10 13:57:52,67.8006,130.4114,-46.3,99,85,3.06
154,Mar Del Plata,AR,2023-01-10 13:57:53,-38.0023,-57.5575,81.82,78,20,17.27
155,Grindavik,IS,2023-01-10 13:57:53,63.8424,-22.4338,37.35,80,40,17.27
156,Atuona,PF,2023-01-10 13:57:53,-9.8,-139.0333,77.88,75,6,16.62
157,Gat,IL,2023-01-10 13:57:54,31.61,34.7642,63.79,3,0,6.58
158,Nikolskoye,RU,2023-01-10 13:57:54,59.7035,30.7861,22.91,91,100,14.09
159,Kapustin Yar,RU,2023-01-10 13:57:55,48.5831,45.7372,4.33,76,2,9.84
160,Wanxian,CN,2023-01-10 13:57:55,30.8039,108.3897,57.76,59,0,1.1
161,Paamiut,GL,2023-01-10 13:57:55,61.994,-49.6678,22.98,68,100,6.85
162,Deputatskiy,RU,2023-01-10 13:57:56,69.3,139.9,-43.78,100,61,1.61
163,Naze,JP,2023-01-10 13:57:56,28.3667,129.4833,61.72,64,51,15.21
164,Sorsk,RU,2023-01-10 13:57:57,54.0033,90.2467,-16.98,89,2,2.19
165,Qaanaaq,GL,2023-01-10 13:57:57,77.484,-69.3632,-17.57,98,100,3.4
166,Barra Patuca,HN,2023-01-10 13:57:58,15.8,-84.2833,77.88,79,53,8.01
167,Carnarvon,AU,2023-01-10 13:57:58,-24.8667,113.6333,74.82,69,0,20.6
168,Torbay,CA,2023-01-10 13:57:58,47.6666,-52.7314,25.57,90,100,16.11
169,Kavaratti,IN,2023-01-10 13:57:59,10.5669,72.642,81.07,62,6,5.12
170,Lakatoro,VU,2023-01-10 13:58:00,-16.0999,167.4164,77.81,83,100,7.96
171,Haines Junction,CA,2023-01-10 13:58:00,60.7522,-137.5108,1.45,100,100,1.79
172,Zhigansk,RU,2023-01-10 13:58:00,66.7697,123.3711,-33.39,96,100,16.64
173,Puerto Colombia,CO,2023-01-10 13:58:01,10.9878,-74.9547,77.09,80,74,7.11
174,Ankpa,NG,2023-01-10 13:58:01,7.3706,7.6253,94.71,9,99,8.46
175,Nokaneng,BW,2023-01-10 13:58:02,-19.6667,22.2667,83.08,47,100,7.61
176,Port Augusta,AU,2023-01-10 13:58:02,-32.5,137.7667,75.16,55,100,7.78
177,Kieta,PG,2023-01-10 13:58:03,-6.2167,155.6333,79.83,85,100,5.35
178,Bathsheba,BB,2023-01-10 13:58:04,13.2167,-59.5167,77.61,83,40,20.71
179,Chauk,MM,2023-01-10 13:58:04,20.8833,94.8167,72.05,40,0,3.4
180,Khandyga,RU,2023-01-10 13:58:05,62.6667,135.6,-34.24,94,95,3.22
181,Pevek,RU,2023-01-10 13:58:05,69.7008,170.3133,-10.01,97,100,4.34
182,Abu Kamal,SY,2023-01-10 13:58:06,34.4506,40.9171,51.66,39,0,8.86
183,Solnechnyy,RU,2023-01-10 13:59:07,50.7214,136.6319,-4.41,94,84,3.83
184,Fortuna,US,2023-01-10 13:59:07,40.5982,-124.1573,50.67,90,75,20.71
185,Tiksi,RU,2023-01-10 13:59:08,71.6872,128.8694,-25.37,100,100,1.52
186,Tual,ID,2023-01-10 13:59:08,-5.6667,132.75,82.04,76,100,8.1
187,Geraldton,AU,2023-01-10 13:59:09,-28.7667,114.6,70.21,68,75,10.36
188,Ulladulla,AU,2023-01-10 13:59:09,-35.35,150.4667,64.92,76,100,4.99
189,Cortes,ES,2023-01-10 13:59:10,41.9395,-1.4396,58.28,45,9,1.39
190,Vallenar,CL,2023-01-10 13:59:10,-28.5708,-70.7581,76.05,41,7,5.5
191,Dunedin,NZ,2023-01-10 13:54:51,-45.8742,170.5036,56.57,92,74,4.03
192,Saint Anthony,US,2023-01-10 13:59:11,45.0205,-93.218,28.89,94,100,0.0
193,Oga,IT,2023-01-10 13:59:12,46.4631,10.347,32.97,80,43,7.54
194,Fukue,JP,2023-01-10 13:59:12,32.6881,128.8419,53.83,54,92,4.54
195,Rovnoye,RU,2023-01-10 13:59:13,50.7765,46.0509,-2.52,86,4,5.99
196,Asau,RO,2023-01-10 13:59:13,46.4333,26.4,42.28,96,100,1.95
197,Thompson,CA,2023-01-10 13:59:14,55.7435,-97.8558,8.76,92,100,5.75
198,Isangel,VU,2023-01-10 13:59:14,-19.55,169.2667,76.59,71,100,6.8
199,Yellowknife,CA,2023-01-10 13:55:12,62.456,-114.3525,-7.62,100,63,4.63
200,Georgetown,MY,2023-01-10 13:59:15,5.4112,100.3354,82.33,82,40,5.99
201,San Cristobal,VE,2023-01-10 13:59:16,7.7669,-72.225,68.18,96,99,2.62
202,Port Elizabeth,ZA,2023-01-10 13:59:16,-33.918,25.5701,82.09,75,0,13.8
203,Clyde River,CA,2023-01-10 13:59:17,70.4692,-68.5914,-21.77,69,0,4.61
204,Noumea,NC,2023-01-10 13:59:14,-22.2763,166.4572,71.58,78,74,10.16
205,Neuquen,AR,2023-01-10 13:56:16,-38.9516,-68.0591,76.89,38,40,10.36
206,Takoradi,GH,2023-01-10 13:59:18,4.8845,-1.7554,85.1,63,42,12.08
207,Springbok,ZA,2023-01-10 13:59:18,-29.6643,17.8865,92.95,14,32,16.6
208,Longyearbyen,SJ,2023-01-10 13:59:19,78.2186,15.6401,31.84,74,75,17.27
209,Souillac,MU,2023-01-10 13:58:46,-20.5167,57.5167,77.38,88,75,11.5
210,Dingle,PH,2023-01-10 13:59:20,10.9995,122.6711,72.75,97,100,6.49
211,Tlachichuca,MX,2023-01-10 13:59:21,19.1,-97.4167,46.81,71,5,2.06
212,Udachnyy,RU,2023-01-10 13:59:21,66.4167,112.4,-41.69,95,100,5.53
213,Talaya,RU,2023-01-10 13:59:22,61.3833,152.75,-44.03,100,95,1.07
214,Sao Filipe,CV,2023-01-10 13:59:22,14.8961,-24.4956,75.61,70,6,6.49
215,Tarko-Sale,RU,2023-01-10 13:59:23,64.9225,77.785,-38.2,94,12,10.11
216,Kilindoni,TZ,2023-01-10 13:59:23,-7.9139,39.6668,83.57,68,41,8.48
217,Hithadhoo,MV,2023-01-10 13:59:24,-0.6,73.0833,81.03,78,100,12.71
218,Westport,US,2023-01-10 13:57:55,41.1415,-73.3579,40.75,75,95,5.01
219,Coronado,US,2023-01-10 13:59:25,32.6859,-117.1831,58.62,88,100,11.99
220,Ati,TD,2023-01-10 13:59:25,13.2154,18.3353,86.88,12,12,9.73
221,Tezu,IN,2023-01-10 13:59:26,27.9167,96.1667,59.63,47,2,4.54
222,La Rioja,ES,2023-01-10 13:59:26,42.25,-2.5,46.18,56,7,4.32
223,Tuktoyaktuk,CA,2023-01-10 13:59:27,69.4541,-133.0374,-13.43,100,99,9.8
224,Buala,SB,2023-01-10 13:59:27,-8.145,159.5921,79.63,77,100,6.85
225,Alice Springs,AU,2023-01-10 13:59:28,-23.7,133.8833,74.75,88,80,0.0
226,Roald,NO,2023-01-10 13:59:28,62.5833,6.1333,44.33,75,40,14.97
227,Luzhou,CN,2023-01-10 13:59:29,28.8724,105.4405,56.32,74,13,3.67
228,Arethousa,GR,2023-01-10 13:59:29,40.7435,23.5898,53.65,89,100,2.39
229,Nkhotakota,MW,2023-01-10 14:00:28,-12.9274,34.2961,79.45,68,99,5.21
230,Kruisfontein,ZA,2023-01-10 14:00:35,-34.0033,24.7314,79.88,53,17,13.58
231,Eston,CA,2023-01-10 14:00:35,51.1501,-108.7514,14.47,95,100,5.1
232,Camargo,MX,2023-01-10 14:00:36,27.6667,-105.1667,50.2,45,0,5.91
233,Vila Franca Do Campo,PT,2023-01-10 14:00:37,37.7167,-25.4333,63.01,75,46,7.11
234,Sur,OM,2023-01-10 14:00:37,22.5667,59.5289,77.16,58,0,16.8
235,Dashitou,CN,2023-01-10 14:00:38,43.3067,128.5114,18.07,64,1,7.74
236,Superior,US,2023-01-10 13:57:03,46.7208,-92.1041,31.69,91,100,8.05
237,Norman Wells,CA,2023-01-10 14:00:39,65.282,-126.8329,-6.81,100,92,3.42
238,Menongue,AO,2023-01-10 14:00:40,-14.6585,17.691,78.17,48,97,3.0
239,Marystown,CA,2023-01-10 14:00:40,47.1666,-55.1483,27.07,92,100,22.24
240,Jiuquan,CN,2023-01-10 14:00:41,39.7432,98.5174,26.24,36,3,3.0
241,Bonoua,CI,2023-01-10 14:00:42,5.2741,-3.595,87.42,50,11,10.8
242,Bratsk,RU,2023-01-10 14:00:42,56.1325,101.6142,5.49,90,68,7.67
243,Villa Carlos Paz,AR,2023-01-10 13:58:55,-31.4241,-64.4978,94.39,22,46,8.99
244,Marsh Harbour,BS,2023-01-10 14:00:43,26.5412,-77.0636,71.94,59,64,9.6
245,Sevierville,US,2023-01-10 13:59:21,35.8681,-83.5618,44.71,76,3,2.64
246,Navolato,MX,2023-01-10 14:00:44,24.7672,-107.6944,55.31,56,0,3.2
247,Marzuq,YE,2023-01-10 14:00:44,14.4,46.4667,75.25,35,2,12.06
248,Ilulissat,GL,2023-01-10 14:00:45,69.2167,-51.1,-15.3,95,61,5.1
249,Am Timan,TD,2023-01-10 14:00:45,11.0297,20.2827,89.71,10,89,5.95
250,Muroto,JP,2023-01-10 14:00:46,33.2833,134.15,48.83,53,0,6.76
251,Poya,NC,2023-01-10 14:00:46,-21.35,165.15,73.06,79,18,6.11
252,Codrington,AU,2023-01-10 14:00:47,-38.2667,141.9667,55.99,94,5,5.79
253,Basoko,CD,2023-01-10 14:00:47,1.2391,23.616,93.38,32,76,3.6
254,Ixtapa,MX,2023-01-10 14:00:47,20.7,-105.2,62.22,76,0,1.01
255,Samarai,PG,2023-01-10 14:00:48,-10.6167,150.6667,80.6,79,100,8.3
256,Matara,LK,2023-01-10 14:00:48,5.9485,80.5353,76.86,81,32,1.28
257,Coihaique,CL,2023-01-10 14:00:49,-45.5752,-72.0662,51.33,93,100,3.06
258,Peniche,PT,2023-01-10 14:00:50,39.3558,-9.3811,62.29,95,100,9.31
259,Montepuez,MZ,2023-01-10 14:00:50,-13.1256,38.9997,77.72,79,99,1.43
260,Dom Pedrito,BR,2023-01-10 13:57:54,-30.9828,-54.6731,93.79,24,0,3.33
261,Pushkino,RU,2023-01-10 14:00:51,56.0172,37.8667,12.49,82,100,14.27
